Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
MCB;SCH_EL;HCABL0000000;AROL;SCHEMA ELETTRICO;1;;DHH0100;;;0.00;;57;R;
GS2;6EP1 436-3BA00;HHALIM_GS024;SIEMENS;ALIMENTATORE 3F SWITCHING 400-500V AC/24V DC 20A;1;;DHH0090;;;0.00;;12;R;
XT10;APD2525;HHBOX0_BX032;IRINOX;SCATOLA INOX 250X250X130;1;;DHH0101;;;0.00;;110;R;
XT3;APD2040;HHBOX0_BX043;IRINOX;SCATOLA INOX 200X400X150;1;;DHH0101;;;0.00;;108;R;
XT4;APD2030;HHBOX0_BX044;IRINOX;SCATOLA INOX 200X300X130;1;;DHH0101;;;0.00;;109;R;
XT7B;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;100;R;
XT7C;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;101;R;
XT7D;AP 9 20;HHBOX0_BX049;IRINOX;PULSANTIERA INOX 3 POSTI;1;;DHH0101;;;0.00;;104;R;
XT5;EKO 50 50 21;HHBOX0_BX077;IRINOX;CASSETTA IN ACCIAIO INOX;1;;DHH0090;;;0.00;;102;R;
XT7A;EKO 50 50 21;HHBOX0_BX077;IRINOX;CASSETTA IN ACCIAIO INOX;1;;DHH0090;;;0.00;;99;R;
MCB;AZ 100 180 40 Z200STD;HHBOX1_BX086;IRINOX;ARMADIO IN ACCIAIO INOX 1000X1800X400;1;;DHH0090;;;0.00;;97;R;
SB3;BA 2023N;HHCAVO_CV002;BACCHETTA;PROLUNGA ESTENSIBILE 5MT 3x1mm NERA;1;;DHH0101;;;0.00;;59;R;
SQ34;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0170;;;0.00;;62;R;
B1;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B12A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
B12B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;64;R;
B35A;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B35B;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
B35C;EVT004;HHCAVO_CV024;IFM;CAVO 4 POLI - CONNETTORE M12 - 5MT;1;;DHH0210;;;0.00;;65;R;
